customer_segment,product_category_name_english,segment_penetration,overall_penetration,affinity_index
"At Risk","cool_stuff",5.51,3.80,1.71
"At Risk","toys",5.23,4.03,1.19
"At Risk","garden_tools",4.28,3.66,0.62
"At Risk","furniture_decor",7.14,6.62,0.52
"At Risk","perfumery",3.66,3.27,0.39
"At Risk","consoles_games",1.47,1.09,0.39
"At Risk","luggage_accessories",1.47,1.09,0.38
"At Risk","office_furniture",1.67,1.33,0.34
"At Risk","telephony",4.60,4.33,0.26
"At Risk","sports_leisure",8.11,7.86,0.24
"At Risk","fashion_bags_accessories",2.10,1.88,0.22
"At Risk","home_confort",0.61,0.42,0.19
"At Risk","market_place",0.48,0.29,0.19
"At Risk","fashion_shoes",0.43,0.25,0.18
"At Risk","computers",0.31,0.19,0.12
"At Risk","fixed_telephony",0.35,0.23,0.12
"At Risk","bed_bath_table",9.75,9.65,0.10
"At Risk","fashion_male_clothing",0.20,0.11,0.09
"At Risk","small_appliances",0.74,0.65,0.09
"At Risk","tablets_printing_image",0.15,0.08,0.07
"At Risk","fashion_underwear_beach",0.17,0.13,0.05
"At Risk","furniture_living_room",0.48,0.44,0.05
"At Risk","air_conditioning",0.30,0.26,0.04
"At Risk","dvds_blu_ray",0.10,0.06,0.04
"At Risk","fashio_female_clothing",0.07,0.04,0.04
"At Risk","fashion_sport",0.06,0.03,0.03
"At Risk","cds_dvds_musicals",0.03,0.01,0.02
"At Risk","home_comfort_2",0.04,0.02,0.02
"At Risk","la_cuisine",0.02,0.01,0.01
"At Risk","audio",0.37,0.37,0.00
"At Risk","fashion_childrens_clothes",0.01,0.01,0.00
"At Risk","security_and_services",0.01,0.00,0.00
"At Risk","furniture_bedroom",0.09,0.09,0.00
"At Risk","music",0.03,0.04,-0.01
"At Risk","flowers",0.02,0.03,-0.01
"At Risk","arts_and_craftmanship",0.00,0.02,-0.02
"At Risk","kitchen_dining_laundry_garden_furniture",0.24,0.26,-0.02
"At Risk","diapers_and_hygiene",0.00,0.03,-0.02
"At Risk","party_supplies",0.02,0.04,-0.02
"At Risk","furniture_mattress_and_upholstery",0.02,0.04,-0.02
"At Risk","books_imported",0.02,0.05,-0.03
"At Risk","food_drink",0.21,0.23,-0.03
"At Risk","costruction_tools_garden",0.15,0.20,-0.05
"At Risk","home_appliances_2",0.19,0.24,-0.05
"At Risk","christmas_supplies",0.08,0.13,-0.05
"At Risk","books_general_interest",0.47,0.52,-0.05
"At Risk","cine_photo",0.02,0.07,-0.05
"At Risk","costruction_tools_tools",0.04,0.10,-0.06
"At Risk","signaling_and_security",0.09,0.15,-0.06
"At Risk","small_appliances_home_oven_and_coffee",0.01,0.08,-0.07
"At Risk","construction_tools_safety",0.08,0.17,-0.09
"At Risk","agro_industry_and_commerce",0.10,0.19,-0.09
"At Risk","baby",2.89,2.98,-0.10
"At Risk","pet_shop",1.66,1.79,-0.12
"At Risk","musical_instruments",0.53,0.65,-0.12
"At Risk","art",0.08,0.21,-0.13
"At Risk","industry_commerce_and_business",0.08,0.25,-0.17
"At Risk","books_technical",0.11,0.27,-0.17
"At Risk","drinks",0.09,0.30,-0.21
"At Risk","construction_tools_lights",0.03,0.26,-0.23
"At Risk","food",0.24,0.47,-0.23
"At Risk","home_appliances",0.48,0.74,-0.26
"At Risk","home_construction",0.18,0.52,-0.33
"At Risk","housewares",5.75,6.09,-0.34
"At Risk","stationery",1.82,2.41,-0.59
"At Risk","construction_tools_construction",0.18,0.78,-0.60
"At Risk","computers_accessories",6.15,6.86,-0.71
"At Risk","auto",3.07,4.04,-0.97
"At Risk","electronics",1.57,2.69,-1.11
"At Risk","watches_gifts",4.67,5.81,-1.14
"At Risk","health_beauty",7.55,9.10,-1.55
"Cannot Lose Them","garden_tools",7.31,3.66,3.65
"Cannot Lose Them","toys",6.93,4.03,2.90
"Cannot Lose Them","telephony",6.64,4.33,2.31
"Cannot Lose Them","fashion_bags_accessories",3.71,1.88,1.83
"Cannot Lose Them","bed_bath_table",11.31,9.65,1.66
"Cannot Lose Them","consoles_games",2.40,1.09,1.32
"Cannot Lose Them","perfumery",4.20,3.27,0.94
"Cannot Lose Them","electronics",3.57,2.69,0.88
"Cannot Lose Them","furniture_decor",7.46,6.62,0.84
"Cannot Lose Them","sports_leisure",8.41,7.86,0.55
"Cannot Lose Them","books_general_interest",0.71,0.52,0.18
"Cannot Lose Them","home_appliances",0.88,0.74,0.15
"Cannot Lose Them","food_drink",0.35,0.23,0.12
"Cannot Lose Them","tablets_printing_image",0.14,0.08,0.06
"Cannot Lose Them","audio",0.42,0.37,0.05
"Cannot Lose Them","home_comfort_2",0.07,0.02,0.05
"Cannot Lose Them","christmas_supplies",0.18,0.13,0.04
"Cannot Lose Them","music",0.07,0.04,0.03
"Cannot Lose Them","fashio_female_clothing",0.07,0.04,0.03
"Cannot Lose Them","fashion_male_clothing",0.14,0.11,0.03
"Cannot Lose Them","books_imported",0.07,0.05,0.02
"Cannot Lose Them","dvds_blu_ray",0.07,0.06,0.01
"Cannot Lose Them","home_confort",0.42,0.42,0.01
"Cannot Lose Them","furniture_bedroom",0.11,0.09,0.01
"Cannot Lose Them","furniture_mattress_and_upholstery",0.04,0.04,0.00
"Cannot Lose Them","flowers",0.04,0.03,0.00
"Cannot Lose Them","fashion_underwear_beach",0.11,0.13,-0.02
"Cannot Lose Them","costruction_tools_tools",0.07,0.10,-0.03
"Cannot Lose Them","fashion_shoes",0.21,0.25,-0.04
"Cannot Lose Them","drinks",0.25,0.30,-0.05
"Cannot Lose Them","fixed_telephony",0.11,0.23,-0.12
"Cannot Lose Them","construction_tools_safety",0.04,0.17,-0.13
"Cannot Lose Them","costruction_tools_garden",0.07,0.20,-0.13
"Cannot Lose Them","agro_industry_and_commerce",0.04,0.19,-0.15
"Cannot Lose Them","air_conditioning",0.11,0.26,-0.16
"Cannot Lose Them","industry_commerce_and_business",0.07,0.25,-0.18
"Cannot Lose Them","market_place",0.11,0.29,-0.19
"Cannot Lose Them","kitchen_dining_laundry_garden_furniture",0.07,0.26,-0.19
"Cannot Lose Them","health_beauty",8.90,9.10,-0.20
"Cannot Lose Them","home_appliances_2",0.04,0.24,-0.20
"Cannot Lose Them","home_construction",0.32,0.52,-0.20
"Cannot Lose Them","books_technical",0.04,0.27,-0.24
"Cannot Lose Them","furniture_living_room",0.18,0.44,-0.26
"Cannot Lose Them","small_appliances",0.39,0.65,-0.26
"Cannot Lose Them","musical_instruments",0.32,0.65,-0.33
"Cannot Lose Them","construction_tools_construction",0.39,0.78,-0.40
"Cannot Lose Them","food",0.07,0.47,-0.40
"Cannot Lose Them","housewares",5.69,6.09,-0.40
"Cannot Lose Them","pet_shop",1.27,1.79,-0.51
"Cannot Lose Them","stationery",1.77,2.41,-0.64
"Cannot Lose Them","luggage_accessories",0.42,1.09,-0.66
"Cannot Lose Them","auto",3.32,4.04,-0.72
"Cannot Lose Them","baby",1.98,2.98,-1.00
"Cannot Lose Them","office_furniture",0.14,1.33,-1.19
"Cannot Lose Them","computers_accessories",5.34,6.86,-1.52
"Cannot Lose Them","cool_stuff",1.77,3.80,-2.03
"Cannot Lose Them","watches_gifts",2.93,5.81,-2.87
Champions,"housewares",9.94,6.09,3.85
Champions,"health_beauty",10.99,9.10,1.89
Champions,"telephony",5.82,4.33,1.48
Champions,"auto",5.27,4.04,1.23
Champions,"electronics",3.80,2.69,1.12
Champions,"home_appliances",1.74,0.74,1.00
Champions,"construction_tools_construction",1.74,0.78,0.96
Champions,"books_technical",1.05,0.27,0.78
Champions,"fashion_bags_accessories",2.61,1.88,0.73
Champions,"food",1.19,0.47,0.72
Champions,"books_general_interest",0.96,0.52,0.44
Champions,"construction_tools_lights",0.60,0.26,0.34
Champions,"drinks",0.55,0.30,0.25
Champions,"party_supplies",0.23,0.04,0.19
Champions,"food_drink",0.41,0.23,0.18
